Product_ID,Category,Cost_Price,Monthly_Target
P001,Electronics,3514,134394
P002,Furniture,5338,907733
P003,Clothing,135,877688
P004,Accessories,476,564182
P005,Furniture,11532,206262
P006,Home & Kitchen,1630,335168
P007,Electronics,2790,846882
P008,Electronics,3170,993220
P009,Electronics,1325,190750
P010,Home & Kitchen,785,596369
P011,Accessories,59,828121
P012,Accessories,682,487808
P013,Clothing,532,955083
P014,Accessories,363,297750
P015,Electronics,1896,189403
P016,Clothing,418,274125
P017,Accessories,502,984283
P018,Electronics,2082,983918
P019,Furniture,5408,104119
P020,Accessories,590,500544
P021,Furniture,9424,885531
P022,Clothing,401,619935
P023,Clothing,448,552367
P024,Home & Kitchen,1797,501858
P025,Furniture,10146,377031
P026,Furniture,5457,279791
P027,Clothing,618,985721
P028,Electronics,4236,792404
P029,Furniture,3848,834660
P030,Clothing,1018,958544
P031,Electronics,3936,226530
P032,Electronics,3034,982304
P033,Electronics,3152,129501
P034,Clothing,497,555698
P035,Accessories,725,430278
P036,Furniture,4876,755649
P037,Electronics,1427,647952
P038,Clothing,906,884144
P039,Electronics,3175,391009
P040,Accessories,511,439586
P041,Furniture,11702,677392
P042,Furniture,5995,852695
P043,Home & Kitchen,1181,550728
P044,Home & Kitchen,933,545819
P045,Electronics,4925,847260
P046,Accessories,418,291032
P047,Accessories,606,818632
P048,Home & Kitchen,1076,712025
P049,Furniture,2708,160023
P050,Clothing,569,558286
P051,Electronics,4187,506942
P052,Clothing,749,723314
P053,Home & Kitchen,1357,506105
P054,Accessories,649,398551
P055,Home & Kitchen,2004,698587
P056,Clothing,1015,160377
P057,Electronics,1087,356622
P058,Electronics,2708,273234
P059,Home & Kitchen,873,184324
P060,Accessories,535,124146
P061,Home & Kitchen,1338,164466
P062,Accessories,447,570915
P063,Accessories,770,211572
P064,Clothing,110,869637
P065,Clothing,1120,563757
P066,Electronics,3648,240246
P067,Electronics,3383,934505
P068,Accessories,625,503081
P069,Accessories,368,390093
P070,Furniture,7843,141570
P071,Accessories,135,941897
P072,Electronics,577,757968
P073,Clothing,993,352268
P074,Accessories,395,242338
P075,Clothing,125,517086
P076,Clothing,969,232826
P077,Electronics,2302,635360
P078,Accessories,377,647581
P079,Electronics,4787,889240
P080,Furniture,8135,964929
P081,Electronics,4858,399193
P082,Home & Kitchen,2378,372088
P083,Electronics,3116,656243
P084,Accessories,87,249728
P085,Accessories,723,255792
P086,Home & Kitchen,356,498296
P087,Accessories,273,315306
P088,Home & Kitchen,372,739620
P089,Furniture,5113,103966
P090,Home & Kitchen,663,859385
P091,Clothing,635,954482
P092,Furniture,9491,509200
P093,Accessories,161,695948
P094,Electronics,1989,503072
P095,Electronics,2755,730488
P096,Accessories,105,385759
P097,Electronics,882,911671
P098,Home & Kitchen,2214,765272
P099,Clothing,650,264050
P100,Home & Kitchen,1623,899630
